,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
437451,106235151185.0,03/01/2016,,4.625,77582.98,48.0,312.0,309.0,03/2042,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
183779,102643837895.0,03/01/2017,,5.125,170395.84,64.0,296.0,296.0,11/2041,17820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
641148,109101948649.0,06/01/2017,,4.875,245757.45,63.0,297.0,281.0,03/2042,23420,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
308856,104445093407.0,09/01/2017,,4.125,86535.42,15.0,225.0,223.0,06/2036,17460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
53996,100797126957.0,12/01/2016,,3.75,237655.38,54.0,186.0,186.0,06/2032,31080,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
409167,105848609733.0,06/01/2016,,4.0,155222.22,44.0,316.0,315.0,10/2042,28140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
312599,104487843861.0,03/01/2017,,4.125,84277.34,46.0,314.0,311.0,05/2043,16820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
993532,114030317869.0,12/01/2017,,5.0,67780.39,75.0,165.0,165.0,09/2031,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
562303,108009325232.0,06/01/2016,,4.75,158876.38,51.0,237.0,237.0,03/2036,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
914304,112885550508.0,09/01/2017,,4.625,178555.06,50.0,310.0,311.0,07/2043,12540,1.0,N,,,,,,,,,,,,,,,,,,,Y,1.0,0.0,0.0,7.0,9.0,
424038,106058250213.0,06/01/2017,,3.5,125986.8,54.0,186.0,179.0,12/2032,33700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
500630,107143414006.0,09/01/2016,,3.375,169465.4,12.0,168.0,167.0,09/2030,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
121293,101772872244.0,12/01/2016,,4.375,340214.5,75.0,285.0,269.0,09/2040,45780,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
125083,101830024305.0,09/01/2017,,4.125,126123.85,55.0,305.0,254.0,02/2043,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
179146,102579981939.0,09/01/2016,,4.75,298017.38,82.0,278.0,0.0,11/2039,00000,1.0,N,1.0,09/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
194812,102801677140.0,12/01/2016,,4.375,293978.94,63.0,297.0,297.0,09/2041,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
639093,109074950632.0,09/01/2016,,4.625,193066.02,28.0,332.0,330.0,05/2044,31340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
995391,114059328497.0,06/01/2017,,4.375,139979.53,64.0,296.0,296.0,02/2042,38860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
559951,107979827153.0,12/01/2017,,3.75,146974.3,59.0,121.0,121.0,01/2028,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
380616,105429983267.0,12/01/2017,,3.5,187310.8,53.0,307.0,307.0,07/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
495576,107068317665.0,09/01/2016,,4.875,256032.52,28.0,332.0,332.0,05/2044,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
926209,113055947245.0,03/01/2016,,5.125,199206.77,74.0,286.0,261.0,01/2040,16580,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
88100,101309626019.0,09/01/2016,,5.125,294092.3,37.0,203.0,202.0,08/2033,41860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
798973,111268820487.0,03/01/2016,,4.875,142408.67,21.0,339.0,339.0,06/2044,33340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
